08-0099,Pennsylvania,Platinum,231,21.45,252.45,Does not advance
08-2857,AP,Platinum,221,31.35,252.35,Advances to Regional Round
08-2205,California,Platinum,234,18.15,252.15,Does not advance
08-3147,Florida,Platinum,233,18.975,251.975,Does not advance
08-2577,California,Platinum,222,29.7,251.7,Does not advance
08-1833,Virginia,Platinum,233,18.15,251.15,Does not advance
08-1678,Maine,Platinum,223,28.05,251.05,Advances to Regional Round
08-1898,Massachusetts,Platinum,223,28.05,251.05,Does not advance
08-1940,South Carolina,Platinum,221,29.7,250.7,Does not advance
08-2067,Maryland,Platinum,224,26.4,250.4,Does not advance
08-1703,Tennessee,Platinum,225,24.75,249.75,Does not advance
08-0884,Texas,Platinum,225,24.75,249.75,Does not advance
08-0801,Washington,Platinum,225,24.75,249.75,Does not advance
08-0372,Virginia,Platinum,224,25.575,249.575,Does not advance
08-0334,Virginia,Platinum,221,28.05,249.05,Does not advance
08-3036,Maryland,Platinum,224,24.75,248.75,Does not advance
08-2738,Colorado,Platinum,223,25.575,248.575,Does not advance
08-1065,Texas,Platinum,221,27.225,248.225,Does not advance
08-0720,Florida,Platinum,226,21.45,247.45,Does not advance
08-0666,Montana,Platinum,220,27.225,247.225,Advances to Regional Round
08-2580,California,Platinum,228,18.975,246.975,Does not advance
08-2159,Maryland,Platinum,228,18.975,246.975,Does not advance
08-2962,Virginia,Platinum,231,15.95,246.95,Does not advance
08-0508,North Carolina,Platinum,223,23.925,246.925,Advances to Regional Round
08-1149,Alabama,Platinum,218,28.05,246.05,Does not advance
08-0395,Colorado,Platinum,218,28.05,246.05,Does not advance
08-2974,Colorado,Platinum,218,28.05,246.05,Does not advance
08-0437,California,Platinum,224,21.45,245.45,Does not advance
08-3425,Alabama,Platinum,217,28.05,245.05,Does not advance
08-2627,Nevada,Platinum,212,33,245,Does not advance
08-0343,Virginia,Platinum,216,28.875,244.875,Does not advance
08-2650,Pennsylvania,Platinum,225,18.975,243.975,Does not advance
08-2687,Canada,Platinum,225,18.15,243.15,Does not advance
08-3477,California,Platinum,215,28.05,243.05,Does not advance
08-1502,Alabama,Platinum,217,25.575,242.575,Does not advance
08-1916,Virginia,Platinum,217,25.575,242.575,Does not advance
08-2651,Pennsylvania,Platinum,223,18.975,241.975,Does not advance
08-2573,Pennsylvania,Platinum,217,24.75,241.75,Does not advance
08-1055,Texas,Platinum,217,24.75,241.75,Does not advance
08-3222,Maryland,Platinum,212,29.7,241.7,Does not advance
08-1466,Ohio,Platinum,212,29.7,241.7,Does not advance
08-0743,California,Platinum,216,25.575,241.575,Does not advance
08-1054,Washington,Platinum,222,18.975,240.975,Does not advance
08-2458,California,Platinum,216,24.75,240.75,Does not advance
08-1890,Virginia,Platinum,215,25.575,240.575,Does not advance
08-0270,Louisiana,Platinum,219,21.45,240.45,Advances to Regional Round
08-0406,Virginia,Platinum,208,32.175,240.175,Does not advance
08-0049,Oklahoma,Platinum,222,18.15,240.15,Does not advance
08-1716,Michigan,Platinum,211,28.875,239.875,Advances to Regional Round
08-0848,Texas,Platinum,217,22.275,239.275,Does not advance
08-1366,Arizona ,Platinum,211,28.05,239.05,Advances to Regional Round
